percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC;MIMM01900D;SETTI CARRARO DALLA CHIESA;VIA PASSIONE, 12;MILANO;02 76001425;276001425;mive01000p@istruzione.it;nord_metro
NA;NA;IC;VRIC851008;10 - BORGO ROMA EST;VIA B. GIULIARI, 40;VERONA;45501332;445501332;vric851008@istruzione.it;nord_metro
NA;NA;IC;SOIC82100B;PAESI OROBICI;VIA D. GIANOLI, 16;SONDRIO;342510868;342510868;soic82100b@istruzione.it;nord_metro
NA;NA;IC;MIIC836006;DON LORENZO MILANI;VIA TRIESTE, 21;TURBIGO;331899168;331899168;miic836006@istruzione.it;nord_altro
NA;NA;IC;NA1M03300T;FONDAZIONE ROMANO GUARDINI SACRO CUORE;CORSO EUROPA, 84;NAPOLI;817146012;817146012;segreteria@sacrocuorenapoli.org;sud_metro
NA;NA;IC;CTIC8AJ00Q;G. GALILEI - G. MAZZINI;VIA DALIA SNC;GRAMMICHELE;933940071;31901578;ctic8aj00q@istruzione.it;sud_altro
NA;NA;IC;BG1M02700A;SACRO CUORE;VIA PESCHIERA, 4;VILLA D'ADDA;035 4380214;035.43.80214;segreteria@villapeschiera.it;nord_altro
NA;NA;IC;TV1M00900Q;BALBI - VALIER;V. SARTORI, 47;PIEVE DI SOLIGO;0438 82080;43882080;info@balbivalier.it;nord_altro
NA;NA;IC;NAIC80800G;BONGHI;VIA VESUVIO;NAPOLI;817596907;081 5576532;naic80800g@istruzione.it;sud_metro
NA;NA;IC;SRIC823006;I IC - PIRANDELLO;VIA P. NENNI, 3;CARLENTINI;957832690;NA;sric823006@istruzione.it;sud_altro
NA;NA;IC;TEIC82400B;CASTELLALTO - CELLINO ATTANASIO;VIA MADONNA DEGLI ANGELI, 11;CASTELLALTO;861296713;861296713;teic82400b@istruzione.it;sud_altro
NA;NA;IC;MIIC8BF00G;RITA LEVI MONTALCINI;VIA MAZZINI, 24;GORGONZOLA;29.513.005;NA;miic8bf00g@istruzione.it;nord_altro
NA;NA;IC;FGIC80800P;MATTINATA;VIA S. PELLICO, 16;MATTINATA;884550102;881520062;fgic80800p@istruzione.it;sud_altro
NA;NA;IC;TNIC82900A;BASSA ANAUNIA - TUENNO;VIA COLLE VERDE, 3 - DENNO;DENNO;0461 655783;461655783;alunni.ic.denno@scuole.provincia.tn.it;nord_altro
NA;NA;IC;MN1M001009;REDENTORE;VIA GIULIO ROMANO, 15;MANTOVA;376224776;376224776;studenti@istitutiredentore.it;nord_metro
IP;LERC031019;"IST.PROFESSIONALE""DE PACE""-LECCE";LEIS03100A;A. DE PACE;VIALE MARCHE, 13;LECCE;832345008;832345008;LEIS03100A@istruzione.it;IP_sud_metro
licei_trad;CSPC067014;LC FAGNANO C.;CSIS06700R;SAN MARCO ARGENTANO ITCG - LC;VIA DANTE ALIGHIERI SNC;SAN MARCO ARGENTANO;0984512529 0984512523;984481317;CSIS06700R@istruzione.it;licei_trad_sud_altro
licei_altro;MITD330007;LICEO E ISTITUTO TECNICO - P. LEVI;MITD330007;PRIMO LEVI;VIA VARALLI, 20;BOLLATE;02 3506465;23505973;MITD330007@istruzione.it;licei_altro_nord_altro
licei_altro;PAPM04000V;IM REGINA MARGHERITA;PAPM04000V;LICEO REGINA MARGHERITA;PIAZZETTA S. SALVATORE, 1;PALERMO;91334043;916512253;PAPM04000V@istruzione.it;licei_altro_sud_metro
IP;CARH00203P;"I.P.S.A.R. ""AZUNI""";CAIS00200C;AZUNI;VIA IS MAGLIAS, 132;CAGLIARI;70270630;70270630;CAIS00200C@istruzione.it;IP_sud_metro
IT;BNTF011015;S. GIORGIO SANNIO;BNIS01100L;VIRGILIO;VIA TIENGO, 1;BENEVENTO;82429642;824362718;BNIS01100L@istruzione.it;IT_sud_metro
licei_altro;BASD053019;"LICEO ARTISTICO E MUSICALE ""LUIGI RUSSO""";BAIS05300C;LUIGI RUSSO;VIA PROCACCIA, 111 (SEGRETERIE);MONOPOLI;809303948;804951486;BAIS05300C@istruzione.it;licei_altro_sud_altro
IP;TARF006018;"ISTITUTO PROFESSIONALE ""MICHELE LENTINI""";TAIS00600G;LENTINI - L. S. EINSTEIN;VIA GIUSTI, 1;MOTTOLA;998862888;998884086;TAIS00600G@istruzione.it;IP_sud_altro
licei_trad;MOPS00201V;PRIMO LEVI;MOIS00200C;PRIMO LEVI;VIA RESISTENZA, 800;VIGNOLA;59771195;59688550;MOIS00200C@istruzione.it;licei_trad_nord_altro
licei_altro;CRSL01601Q;"L.ARTISTICO ""MUNARI""";CRIS01600C;"I.I.S. ""BRUNO MUNARI""";VIA PIACENZA, 52A;CREMA;0373/83458;0373 83458;CRIS01600C@ISTRUZIONE.IT;licei_altro_nord_altro
IP;RGRI01301E;"I.P.S.I.A. ""G. FERRARIS""";RGIS01300V;GALILEO FERRARIS;VIA NICCOLÒ TOMMASEO, 5;RAGUSA;932624026;932252860;RGIS01300V@istruzione.it;IP_sud_metro
licei_trad;FRPC02500X;S.BERNARDO;FRPC02500X;SAN BERNARDO;ABBAZIA DI CASAMARI;VEROLI;775283244;775283244;ISTITUTOSANBERNARDO@GMAIL.COM;licei_trad_nord_altro
IP;SARA010016;I.P.S.A.S.R. ANGRI;SARA010005;AGRICOLTURA E AMBIENTE;VIA DELLE CALABRIE, 63 - LOC. LAMIA;SALERNO;89849905;89849905;SARA010005@istruzione.it;IP_sud_metro
licei_altro;SSPS05000G;LICEO SCIENTIFICO STATALE LORENZO MOSSA;SSPS05000G;LORENZO MOSSA;VIA CAMPIDANO;OLBIA;78921834;78921834;SSPS05000G@istruzione.it;licei_altro_sud_altro
IP;GERI07000P;I.P.S. I.S. GASLINI/MEUCCI;GERI07000P;GASLINI - MEUCCI;VIA PASTORINO, 15;GENOVA;107403503;107403503;GERI07000P@istruzione.it;IP_nord_metro
IP;SIRI00301C;CENNINO CENNINI;SIIS00300R;SAN GIOVANNI BOSCO;VIALE DEI MILLE, 12/A;COLLE DI VAL D'ELSA;0577 909037;577909037;SIIS00300R@istruzione.it;IP_nord_altro
licei_trad;ALPS00401C;L.B. ALBERTI;ALIS004002;BENVENUTO CELLINI;STRADA PONTECURONE, 17;VALENZA;131945855;131945855;ALIS004002@istruzione.it;licei_trad_nord_altro
licei_trad;SAPC040008;"""F. DE SANCTIS"" - SALERNO";SAPC040008;F. DE SANCTIS;VIA TEN. UGO STANZIONE;SALERNO;89752094;89752094;SAPC040008@istruzione.it;licei_trad_sud_metro
licei_altro;RGSL013016;LICEO ARTISTICO G. FERRARIS;RGIS01300V;GALILEO FERRARIS;VIA NICCOLÒ TOMMASEO, 5;RAGUSA;932624026;932252860;RGIS01300V@istruzione.it;licei_altro_sud_metro
IT;GETD00301G;I.T.S. - E.MONTALE -;GEIS003009;E. MONTALE - NUOVO I.P.C.;VIA TIMAVO, 63;GENOVA;0103762192 0103761308;103761308;GEIS003009@istruzione.it;IT_nord_metro
licei_trad;BSPS017019;"ROVATO (SEZ.ASS.I.S.""GIGLI"")";BSIS01700V;ROVATO LORENZO GIGLI;VIA EUROPA, 46/D;ROVATO;307721610;30660242;BSIS01700V@istruzione.it;licei_trad_nord_altro
