percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC;VTIC82500A;G. NICOLINI;VIA L. M. OLIVARES;CAPRANICA;761669085;761669085;vtic82500a@istruzione.it;nord_altro
NA;NA;IC;BGIC87900D;CAROLI STEZZANO;VIA VALLINI, 23;STEZZANO;35591529;35591529;bgic87900d@istruzione.it;nord_altro
NA;NA;IC;PEIC83300G;PESCARA 3;VIA REGINA ELENA, 135;PESCARA;854210474;854210474;peic83300g@istruzione.it;sud_metro
NA;NA;IC;FGIC85400C;DIREZIONE DIDATTICA + PASCOLI;VIA AFRICA ORIENTALE, 32;MARGHERITA DI SAVOIA;883654396;883654396;lucarusso61@virgilio.it;sud_altro
NA;NA;IC;MBIC8AM00E;FILIPPO DE PISIS;VIA VITTORIO VENETO, 54;BRUGHERIO;392873352;392873352;mbic8am00e@istruzione.it;nord_altro
NA;NA;IC;CTMM10300P;NINO MARTOGLIO;VIA SCUOLA MEDIA, SNC;BELPASSO;95912381;957053036;ctmm10300p@istruzione.it;sud_altro
NA;NA;IC;RCIC81400P;SAN LUCA - BOVALINO;CORSO MATTEOTTI, 2;SAN LUCA;964985054;965782221;rcic81400p@istruzione.it;sud_altro
NA;NA;IC;SSIC80600X;BUDDUSÒ;VIA COMM. FUMU;BUDDUSÒ;79714035;785373218;ssic80600x@istruzione.it;sud_altro
NA;NA;IC;CHIC80700E;P. D. POLLIDORI;PIAZZA FANTINI, 1;FOSSACESIA;87260190;87260190;chic80700e@istruzione.it;sud_altro
NA;NA;IC;NAIC8CM004;58 - J. F. KENNEDY;VIA MONTE ROSA, 149;NAPOLI;815438314;817374452;naic8cm004@istruzione.it;sud_metro
NA;NA;IC;PSIC83500A;MICHELINI TOCCI;PIAZZA SAN FRANCESCO, 5;CAGLI;0721 787337 787045;721787683;psic83500a@istruzione.it;nord_altro
NA;NA;IC;NAIC8G300P;NA 55 I.C. PISCICELLI - MAIURI;VIA PISCICELLI, 37;NAPOLI;815781766;815781766;naic8g300p@istruzione.it;sud_metro
NA;NA;IC;MIIC8DB00D;DON MILANI;VIA BARANZATE, 8;NOVATE MILANESE;02 38201592;02 38201592;miic8db00d@istruzione.it;nord_altro
NA;NA;IC;NA1MU75009;MATER DEI;PIAZZETTA MATERDEI, 10;NAPOLI;8119560964;818811010;istitutoparitariomaterdei@virgilio.it;sud_metro
licei_trad;MOPS01801C;F.CORNI SEZ. LICEALE;MOIS018002;F. CORNI - LICEO E TECNICO;LARGO A. MORO, 25;MODENA;59400700;59400700;MOIS018002@istruzione.it;licei_trad_nord_metro
IT;BGTD02301X;"""SERAFINO RIVA""";BGIS02300N;SERAFINO RIVA;VIA CORTIVO, 30/32;SARNICO;35914290;35914290;BGIS02300N@istruzione.it;IT_nord_altro
IP;CLRH009013;IP SERV.L'ENOGASTRON. L'OSPITALITA ALBER;CLIS00900V;IIS SEN. ANGELO DI ROCCO;VIA LEONE XIII, 64;CALTANISSETTA;934591250;934591280;CLIS00900V@istruzione.it;IP_sud_metro
IT;MOTD01000L;A. BAGGI;MOTD01000L;A. BAGGI;VIA S. LUCA;SASSUOLO;536803122;565915148;MOTD01000L@istruzione.it;IT_nord_altro
licei_trad;ROPM01000Q;"LICEO ""CELIO-ROCCATI"" ROVIGO";ROPM01000Q;CELIO - ROCCATI;VIA CARDUCCI, 8;ROVIGO;42521012;0425 21012;ROPM01000Q@istruzione.it;licei_trad_nord_metro
IT;TNTF01301D;NA;TNIS013001;ITT BUONARROTI;VIA BRIGATA ACQUI, 15;TRENTO;461216811;461216811;NA;IT_nord_metro
licei_trad;GETF014018;LICEO E ITS I. CALVINO;GEIS01400Q;IIS ITALO CALVINO;VIA BORZOLI, 21;GENOVA;106504672;3491398014;GEIS01400Q@istruzione.it;licei_trad_nord_metro
IP;BORC10500R;ISTITUTO SALESIANO BEATA VERGINE DI SAN LUCA;BORC10500R;BEATA VERGINE DI SAN LUCA;VIA JACOPO DELLA QUERCIA, 1;BOLOGNA;051 4151711 - 4151703;514151711;segreteria.bolognabv@salesiani.it;IP_nord_metro
licei_altro;VAPLVL5003;LICEO LINGUISTICO COLLEGIO ROTONDI;VAPLVL5003;COLLEGIO ROTONDI;VIA SAN MAURIZIO, 4;GORLA MINORE;331.604.425;331601106;rettore@collegiorotondi.it;licei_altro_nord_altro
IT;ALTL00601A;"""PIER LUIGI NERVI""";ALIS00600N;VINCI-NERVI-FERMI;VIA TROTTI, 19;ALESSANDRIA;131252217;131252217;ALIS00600N@istruzione.it;IT_nord_metro
IT;ISTD003018;E.DE NICOLA;ISIS003002;A. GIORDANO;VIA MAIELLA, 41-43;VENAFRO;0865 904124;865904124;ISIS003002@istruzione.it;IT_sud_altro
licei_trad;PTPS00301L;ENRICO FERMI;PTIS003006;ENRICO FERMI;VIALE VILLA VITTORIA 240 - SAN MARCELLO PISTOIESE;SAN MARCELLO PITEGLIO;573621429;57362141;PTIS003006@istruzione.it;licei_trad_nord_altro
IT;LUTF004018;FRANCESCO VECCHIACCHI;LUIS00400Q;ISI GARFAGNANA;VIA XX APRILE, 12;CASTELNUOVO DI GARFAGNANA;0583 62454;584989027;LUIS00400Q@istruzione.it;IT_nord_altro
IP;MIRC08901T;I.P. -G. PUECHER-A. OLIVETTI(SUCCURSALE);MIIS08900V;PUECHER - A. OLIVETTI;VIA BERSAGLIO, 56;RHO;29302236;29302236;MIIS08900V@istruzione.it;IP_nord_altro
licei_altro;BRPC04000P;"LICEO ""MARZOLLA-LEO-SIMONE-DURANO""";BRPC04000P;MARZOLLA - LEO - SIMONE - DURANO;VIA NARDELLI, 2;BRINDISI;831516102;831516102;BRPC04000P@istruzione.it;licei_altro_sud_metro
licei_trad;SAPC07201R;"""G. B. VICO""";SAIS07200D;G. B. VICO;PIAZZA CIANCIULLO, 1;NOCERA INFERIORE;815176462;815176462;SAIS07200D@istruzione.it;licei_trad_sud_altro
IP;VCRH040008;G. PASTORE;VCRH040008;G. PASTORE;VIA D'ADDA, 33;VARALLO;16351753;163826552;VCRH040008@istruzione.it;IP_nord_altro
licei_trad;ALTF01000R;ALESSANDRO VOLTA;ALTF01000R;ALESSANDRO VOLTA;SPALTO MARENGO, 42;ALESSANDRIA;131227239;131227239;ALTF01000R@istruzione.it;licei_trad_nord_metro
licei_altro;MIPC09500C;LICEO CLASSICO ISTITUTO GONZAGA;MIPC09500C;GONZAGA;V. VITRUVIO, 41;MILANO;02 6693141;26693141;SEGRETERIA@GONZAGA-MILANO.IT;licei_altro_nord_metro
IT;LETL04201D;"I.T.G. ""G. GALILEI"" LECCE";LEIS04200R;I.I.S.S.GALILEI - COSTA - SCARAMBONE;PIAZZA PALIO;LECCE;832305919;832397005;LEIS04200R@istruzione.it;IT_sud_metro
IP;RORI01201L;GIUSEPPE MARCHESINI - IPSIA;ROIS012001;FERRUCCIO VIOLA - GIUSEPPE MARCHESINI;VIA A. DE GASPERI, 21;ROVIGO;425410699;4251713700;ROIS012001@istruzione.it;IP_nord_metro
licei_trad;VAPS026014;LICEO SCIENT. OPZIONE SCIENZE APPLICATE;VAIS02600N;L. GEYMONAT;VIA GRAMSCI, 1;TRADATE;0331 842371;331619000;VAIS02600N@istruzione.it;licei_trad_nord_altro
licei_altro;AQPM01000G;"""BENEDETTO CROCE""";AQPM01000G;B. CROCE;VIA CAVALIERI DI VITTORIO VENETO, 9;AVEZZANO;863412264;3334229894;AQPM01000G@istruzione.it;licei_altro_sud_altro
IP;GRRC01201P;SERVIZI COMMERCIALI;GRIS01200Q;POLO ISTRUZIONE SUPERIORE;PIAZZA DE MARIA, 31;GROSSETO;564484853;564484851;GRIS01200Q@istruzione.it;IP_nord_metro
IT;SOTA01000X;ISTITUTO TECNICO AGRARIO;SOTA01000X;ISTITUTO TECNICO AGRARIO;SALITA SCHENARDI, 6;SONDRIO;0342 212153;3,90342E+11;SOTA01000X@istruzione.it;IT_nord_metro
IT;RCTD01601R;I.T.COM.GEOM.INFO.TEL.BOVA M.IIS EUCLIDE;RCIS01600E;"ISTITUTO SUPERIORE ""EUCLIDE""";C.DA MONOSCALCO;BOVA MARINA;965499401;3205713561;RCIS01600E@istruzione.it;IT_sud_altro
