percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC;SVIC81300R;VARAZZE - CELLE NELSON MANDELA;VIA CAMOGLI GIOVANNI BAT., 6;VARAZZE;1997394;19514088;svic81300r@istruzione.it;nord_altro
NA;NA;IC;RM1M11200L;SCHOLA PUERORUM;VIA DEL MONTE DELLA FARINA 64;ROMA;06 6868553;66868553;segreteria@scholapuerorum.org;nord_metro
NA;NA;IC;NAIC8E6001;GRAGNANO 3 - STAGLIE - P.CO IMPERIALE;VIA G. LEOPARDI, 10 - PARCO IMPERIALE;GRAGNANO;818702141;818702141;naic8e6001@istruzione.it;sud_altro
NA;NA;IC;RM1M09900B;ISTITUTO SALESIANO PIO XI;V. UMBERTIDE, 11;ROMA;06 78440179;678440176;segreteria@pioundicesimo.org;nord_metro
NA;NA;IC;TOIC8BG00B;SAN BENIGNO CANAVESE;CORSO ITALIA, 34;SAN BENIGNO CANAVESE;011 9880562;NA;toic8bg00b@istruzione.it;nord_altro
NA;NA;IC;ARVC010009;V. EMANUELE II;VIA CARDUCCI, 5;AREZZO;057521436 - 0575351370;575401408;arvc010009@istruzione.it;nord_metro
NA;NA;IC;PZIC88800P;L. MILANI - POTENZA IV;VIA TIRRENO;POTENZA;971594191;971594191;pzic88800p@istruzione.it;sud_metro
NA;NA;IC;FGIC85900G;PARISI DE SANCTIS;VIA MARCHESE DE ROSA, 23;FOGGIA;881617816;881617816;fgic85900g@istruzione.it;sud_metro
NA;NA;IC;CTIC823002;PIERO GOBETTI;VIA PIERSANTI MATTARELLA SNC;CALTAGIRONE;93325663;NA;ctic823002@istruzione.it;sud_altro
NA;NA;IC;VEIC846005;FRANCESCOQUERINI;VIA CATALANI, 9 - MESTRE;VENEZIA;41984807;NA;veic846005@istruzione.it;nord_metro
