percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC;TOIC8AB00N;IVREA II;VIALE DELLA LIBERAZIONE N. 14;IVREA;125641088;125641088;toic8ab00n@istruzione.it;nord_altro
NA;NA;IC;MOIC84800N;MODENA 10;STRADA ALBARETO, 93;MODENA;59313165;NA;moic84800n@istruzione.it;nord_metro
NA;NA;IC;TAIC80300X;L. PIRANDELLO;VIA PASTORE SNC;TARANTO;994721184;994721184;taic80300x@istruzione.it;sud_metro
NA;NA;IC;TN1M001004;IST. SALESIANO S. CROCE;VIA MOLAREN, 29;MEZZANO;439762019;NA;segreteria@sdbmezzano.it;nord_altro
NA;NA;IC;CEIC87400L;SAN MARCELLINO CENTRO;VIA STARZA SNC;SAN MARCELLINO;081 8121614;081 8123884;ceic87400l@istruzione.it;sud_altro
NA;NA;IC;SAIC8A700R;GENNARO BARRA;VIA LUNGOMARE TRIESTE, 17;SALERNO;892753012;67910323;saic8a700r@istruzione.it;sud_metro
NA;NA;IC;TOIC8A100T;VITTORINO DA FELTRE - FERMI;VIA FINALMARINA, 5;TORINO;1101166100;1101166100;toic8a100t@istruzione.it;nord_metro
NA;NA;IC;RCIC87300E;VITRIOLI - PRINCIPE DI PIEMONTE;VIA POSSIDONEA, 19;REGGIO DI CALABRIA;965891530;965891530;rcic87300e@istruzione.it;sud_metro
NA;NA;IC;BSIC83900G;IC COCCAGLIO;VIA G. MATTEOTTI, 10/A;COCCAGLIO;030 7721190;307721457;segreteria@iccoccaglio.net;nord_altro
NA;NA;IC;CNIC854007;PADRE G. GIROTTI - QUARTIERE PIAVE - SAN CASSIANO;CORSO EUROPA, 134;ALBA;0173 280057;0173 280057;cnic854007@istruzione.it;nord_altro
NA;NA;IC;SRIC81900E;CARLO V;VIA DELLO STADIO, 32;CARLENTINI;095 993791;95993791;sric81900e@istruzione.it;sud_altro
NA;NA;IC;AGIC848001;FRANCESCO GIORGIO;VIA DANTE, 14;LICATA;9221837367;9221837367;agic848001@istruzione.it;sud_altro
NA;NA;IC;SRIC82100E;I - E. DE AMICIS;VIA DE AMICIS, 1;FLORIDIA;931941753;931941753;sric82100e@istruzione.it;sud_altro
NA;NA;IC;TAIC829004;G. SALVEMINI;VIA GREGORIO VII SNC;TARANTO;997774924;997774924;taic829004@istruzione.it;sud_metro
NA;NA;IC;MCIC83100E;NICOLA BADALONI;VIA SPAZZACAMINO, 11;RECANATI;717574394;717574394;mcic83100e@istruzione.it;nord_altro
IP;VRPQ02500E;I.P. SERVIZI SOCIO SANITARI SACRA FAMIGLIA;VRPQ02500E;ISTITUTO PROFESSIONALE DEI SERVIZI SOCIO SANITARI;VIA G. NASCIMBENI, 10;VERONA;045 8185704;458185702;sacrafamigliavr.mondopiccolo@gmail.com;IP_nord_metro
IP;BNRC02301T;FAICCHIO;BNIS02300V;BNIS02300V;VIA RAFFAELE DELCOGLIANO;FAICCHIO;824863478;0874/34393;BNIS02300V@istruzione.it;IP_sud_altro
IP;RMRC10301B;GIULIO VERNE;RMIS10300C;IIS VIA DI SAPONARA 150;VIA DI SAPONARA, 150;ROMA;6121125745;6121125745;RMIS10300C@istruzione.it;IP_nord_metro
licei_altro;CRPC02000A;"""DANIELE MANIN""";CRPC02000A;DANIELE MANIN;VIA CAVALLOTTI, 2;CREMONA;37221545;0372/21545;CRPC02000A@istruzione.it;licei_altro_nord_metro
licei_altro;BSPM6Z500C;Annibale Maria di Francia;BSPM6Z500C;ANNIBALE MARIA DI FRANCIA;VIALE MOTTA, 54;DESENZANO DEL GARDA;309141743;309141743;presidenza@scuolerogazionistidesenzano.it;licei_altro_nord_altro
IP;RGRH020005;PRINCIPI GRIMALDI;RGRH020005;PRINCIPI GRIMALDI;VIALE DEGLI OLEANDRI, 19;MODICA;932762991;932762991;RGRH020005@istruzione.it;IP_sud_altro
IT;PRTA00201G;FABIO BOCCHIALINI;PRIS00200Q;GALILEI - BOCCHIALINI;VIA CEFALONIA, 14;SAN SECONDO PARMENSE;0521871536 - 0521871593;0521871536-0521871593;PRIS00200Q@istruzione.it;IT_nord_altro
licei_altro;RMPL50500Q;LICEO LINGUISTICO VISCONTI;RMPL50500Q;VISCONTI;VIA NAZARIO SAURO, 1;ROMA;639741489;639741489;segreteria@istitutovisconti.it;licei_altro_nord_metro
licei_trad;PZPC00601N;"L.C. ""N. CARLOMAGNO"" LAURIA";PZIS00600A;N. MIRAGLIA;VIA CERSE DELLO SPEZIALE;LAURIA;973823966;838726919;PZIS00600A@istruzione.it;licei_trad_sud_altro
