NAIC8C000R;GIACOMO LEOPARDI;TORRE DEL GRECO;http://www.icleopardi.edu.it;
CSIS051007;LEONARDO DA VINCI - NITTI;COSENZA;;
TNPM01000X;ANTONIO ROSMINI;TRENTO;https://www.liceorosmini.edu.it;
VAPC020001;ERNESTO CAIROLI;VARESE;http://www.liceoclassicovarese.edu.it;
PDIS02700T;LEONARDO DA VINCI;PADOVA;https://www.leodavinci.edu.it/;
BS1M026002;PAOLA DI ROSA;LONATO DEL GARDA;www.paoladirosa-lonato.it;
CSIC80800Q;SANTA CATERINA DA SIENA;AMENDOLARA;http://www.istitutocomprensivoamendolara.gov.it;
RMIC80600V;VIA DELLE SETTECHIESE;ROMA;http://www.icvirgilioroma.edu.it;
BS1M004009;MADONNA DELLA NEVE;ADRO;madonnadellaneve.it;
PVIS006008;A. VOLTA;PAVIA;http://www.istitutovoltapavia.edu.it;
