LEIS04200R;I.I.S.S.GALILEI - COSTA - SCARAMBONE;LECCE;http://www.galieicostascarambone.edu.it;
ROIS012001;FERRUCCIO VIOLA - GIUSEPPE MARCHESINI;ROVIGO;https://www.iisviolamarchesini.edu.it;
VAIS02600N;L. GEYMONAT;TRADATE;https://isissgeymonat.edu.it;
AQPM01000G;B. CROCE;AVEZZANO;https://www.torloniacroce.edu.it;
GRIS01200Q;POLO ISTRUZIONE SUPERIORE;GROSSETO;http://www.polobianciardigrosseto.edu.it;
SOTA01000X;ISTITUTO TECNICO AGRARIO;SONDRIO;https://www.cnpiazzisondrio.edu.it;
RCIS01600E;ISTITUTO SUPERIORE "EUCLIDE";BOVA MARINA;https://www.iiseuclide.edu.it;
TOIC8AB00N;IVREA II;IVREA;http://www.icivrea2.edu.it;
MOIC84800N;MODENA 10;MODENA;https://ic10modena.edu.it;
TAIC80300X;L. PIRANDELLO;TARANTO;http://www.icpirandellota.edu.it;
TN1M001004;IST. SALESIANO S. CROCE;MEZZANO;https://www.salesianimezzano.it;
CEIC87400L;SAN MARCELLINO CENTRO;SAN MARCELLINO;http://www.icsanmarcellino.edu.it;
SAIC8A700R;GENNARO BARRA;SALERNO;https://www.icbarramari.edu.it;
TOIC8A100T;VITTORINO DA FELTRE - FERMI;TORINO;https://www.vittorinodafeltre.edu.it;
RCIC87300E;VITRIOLI - PRINCIPE DI PIEMONTE;REGGIO DI CALABRIA;https://www.vitrioliprincipepiemonte.edu.it;
BSIC83900G;IC COCCAGLIO;COCCAGLIO;https://www.iccoccaglio.edu.it;
CNIC854007;PADRE G. GIROTTI - QUARTIERE PIAVE - SAN CASSIANO;ALBA;https://icalbasancassiano.edu.it;
SRIC81900E;CARLO V;CARLENTINI;http://www.istitutocarlov.edu.it;
AGIC848001;FRANCESCO GIORGIO;LICATA;https://www.icfrancescogiorgio.edu.it;
SRIC82100E;I - E. DE AMICIS;FLORIDIA;http://www.istitutodeamicisfloridia.edu.it;
